"","Month","Year","Month.1","Monster.com","monster.com","Indeed.com","indeed.com","unemployment","job.listings","job_monthly_total","mi_month","mi_month_s","mi_yr_to_date","mi_12mo_avg","population","conv_gas","reform_gas","num2_diesel","very_warm","very_cold","very_wet","very_dry","miles","miles.s","pop","jobs.avg","miles.S","miles.sS","pop.S"
"1",1,2004,"2004-01",95,93,0,0,28,100,373,222450,243749,222450,2894137,292046,1.595,1.654,1.551,0,0.0354,0.0204,0.0631,222450,243749,292046,53.2857142857143,222.45,243.749,292.046
"2",2,2004,"2004-02",88,87,0,0,25,85,336,213709,244795,436159,2904170,292230,1.654,1.763,1.582,0,0,0.1173,0.0612,213709,244795,292230,48,213.709,244.795,292.23
"3",3,2004,"2004-03",85,88,0,0,23,95,342,251403,248838,687562,2918894,292434,1.728,1.881,1.629,0.6252,0,0.1418,0.2929,251403,248838,292434,48.8571428571429,251.403,248.838,292.434
"4",4,2004,"2004-04",84,86,0,0,23,88,334,250968,248040,938530,2930447,292651,1.794,1.93,1.692,0.0439,0.004,0.1668,0.0707,250968,248040,292651,47.7142857142857,250.968,248.04,292.651
"5",5,2004,"2004-05",88,92,0,0,21,99,353,257235,246680,1195766,2934438,292872,1.981,2.108,1.746,0.2569,0.0083,0.1886,0.1773,257235,246680,292872,50.4285714285714,257.235,246.68,292.872
"6",6,2004,"2004-06",100,98,0,0,22,100,376,257383,244535,1453148,2939676,293103,1.95,2.14,1.711,0.0337,0.0641,0.1946,0.0648,257383,244535,293103,53.7142857142857,257.383,244.535,293.103
"7",7,2004,"2004-07",95,92,0,0,22,84,348,265969,247438,1719117,2943540,293350,1.902,2.06,1.739,0.0495,0.1369,0.0855,0.0246,265969,247438,293350,49.7142857142857,265.969,247.438,293.35
"8",8,2004,"2004-08",92,92,0,0,21,83,342,262836,247736,1981953,2945689,293603,1.88,2.002,1.833,0.0469,0.4654,0.145,0.0199,262836,247736,293603,48.8571428571429,262.836,247.736,293.603
"9",9,2004,"2004-09",87,85,0,0,22,80,324,243515,247341,2225468,2951752,293857,1.88,1.979,1.917,0.0937,0,0.2159,0.1394,243515,247341,293857,46.2857142857143,243.515,247.341,293.857
"10",10,2004,"2004-10",81,83,0,0,22,71,305,254496,248318,2479964,2952200,294104,1.993,2.14,2.134,0.1217,0,0.225,0.0046,254496,248318,294104,43.5714285714286,254.496,248.318,294.104
"11",11,2004,"2004-11",74,73,0,0,20,68,280,239796,247530,2719760,2958298,294337,1.973,2.126,2.147,0.2446,0,0.2786,0.0555,239796,247530,294337,40,239.796,247.53,294.337
"12",0,2004,"2004-12",71,75,0,0,19,63,270,245029,248828,2964789,2964789,294561,1.843,1.978,2.009,0.0384,0,0.0351,0.0785,245029,248828,294561,38.5714285714286,245.029,248.828,294.561
"13",1,2005,"2005-01",93,99,0,0,24,78,346,224072,248111,224072,2966412,294768,1.852,1.921,1.959,0.2042,0,0.3319,0.0326,224072,248111,294768,49.4285714285714,224.072,248.111,294.768
"14",2,2005,"2005-02",88,90,0,0,20,68,314,219970,249887,444042,2972672,294955,1.927,2.006,2.027,0.1337,0,0.1476,0.1455,219970,249887,294955,44.8571428571429,219.97,249.887,294.955
"15",3,2005,"2005-03",85,91,1,1,20,75,321,253182,248928,697225,2974451,295149,2.102,2.159,2.214,0.0634,0,0.023,0.058,253182,248928,295149,45.8571428571429,253.182,248.928,295.149
"16",4,2005,"2005-04",86,84,2,2,20,87,330,250860,249051,948085,2974344,295359,2.251,2.354,2.292,0.1004,0.0267,0.083,0.0773,250860,249051,295359,47.1428571428571,250.86,249.051,295.359
"17",5,2005,"2005-05",89,91,1,1,19,85,337,262678,250844,1210763,2979787,295582,2.155,2.306,2.199,0.0209,0.1038,0.1631,0.1112,262678,250844,295582,48.1428571428571,262.678,250.844,295.582
"18",6,2005,"2005-06",96,99,1,1,20,78,348,263816,250672,1474580,2986220,295824,2.162,2.272,2.29,0.1361,0.0203,0.1851,0.0929,263816,250672,295824,49.7142857142857,263.816,250.672,295.824
"19",7,2005,"2005-07",91,92,2,2,21,77,336,267025,251030,1741605,2987277,296077,2.287,2.427,2.373,0.3278,0,0.0461,0.1351,267025,251030,296077,48,267.025,251.03,296.077
"20",8,2005,"2005-08",96,93,2,2,19,80,343,265323,249297,2006928,2989764,296338,2.489,2.61,2.5,0.2176,0,0.1191,0.0409,265323,249297,296338,49,265.323,249.297,296.338
"21",9,2005,"2005-09",89,93,2,2,21,73,330,242240,245542,2249168,2988489,296606,2.907,3.042,2.819,0.4734,0,0.0355,0.1286,242240,245542,296606,47.1428571428571,242.24,245.542,296.606
"22",10,2005,"2005-10",91,95,2,2,20,63,318,251419,246383,2500587,2985412,296857,2.736,2.824,3.095,0.0068,0,0.166,0.1266,251419,246383,296857,45.4285714285714,251.419,246.383,296.857
"23",11,2005,"2005-11",83,86,3,3,20,61,299,243056,250332,2743643,2988672,297089,2.265,2.38,2.573,0.2937,0,0.0747,0.1231,243056,250332,297089,42.7142857142857,243.056,250.332,297.089
"24",0,2005,"2005-12",72,69,2,2,19,46,248,245787,250939,2989430,2989430,297311,2.216,2.256,2.443,0.0207,0,0.0795,0.2053,245787,250939,297311,35.4285714285714,245.787,250.939,297.311
"25",1,2006,"2006-01",97,100,3,3,23,74,349,233282,255718,233282,2998640,297526,2.343,2.397,2.467,0.6797,0,0.0738,0.0918,233282,255718,297526,49.8571428571429,233.282,255.718,297.526
"26",2,2006,"2006-02",91,95,3,3,20,64,321,220711,250652,453993,2999380,297734,2.293,2.393,2.475,0.0155,0,0.0015,0.2308,220711,250652,297734,45.8571428571429,220.711,250.652,297.734
"27",3,2006,"2006-03",89,89,4,4,20,64,316,256623,250651,710616,3002821,297950,2.454,2.496,2.559,0.0583,0.0525,0.0661,0.1542,256623,250651,297950,45.1428571428571,256.623,250.651,297.95
"28",4,2006,"2006-04",89,90,4,4,20,63,317,250644,250942,961260,3002605,298170,2.762,2.837,2.728,0.6701,0,0.1067,0.0418,250644,250942,298170,45.2857142857143,250.644,250.942,298.17
"29",5,2006,"2006-05",95,94,5,5,19,68,335,263370,249836,1224630,3003297,298401,2.873,3.115,2.897,0.2459,0,0.0411,0.1445,263370,249836,298401,47.8571428571429,263.37,249.836,298.401
"30",6,2006,"2006-06",97,95,5,5,20,72,344,263782,249996,1488412,3003262,298653,2.849,3.094,2.898,0.3564,0,0.0864,0.141,263782,249996,298653,49.1428571428571,263.782,249.996,298.653
"31",7,2006,"2006-07",93,93,6,6,21,74,343,263421,249487,1751833,2999658,298910,2.964,3.15,2.934,0.4941,0,0.0954,0.1173,263421,249487,298910,49,263.421,249.487,298.91
"32",8,2006,"2006-08",93,93,7,7,19,71,340,265206,248941,2017039,2999541,299178,2.952,3.094,3.045,0.2236,0,0.1154,0.1032,265206,248941,299178,48.5714285714286,265.206,248.941,299.178
"33",9,2006,"2006-09",83,87,7,7,18,70,319,245605,250471,2262644,3002906,299452,2.548,2.725,2.783,0,0.2054,0.0858,0.0353,245605,250471,299452,45.5714285714286,245.605,250.471,299.452
"34",10,2006,"2006-10",84,80,8,8,21,55,302,257939,251752,2520583,3009426,299710,2.258,2.363,2.519,0,0.0372,0.222,0.0249,257939,251752,299710,43.1428571428571,257.939,251.752,299.71
"35",11,2006,"2006-11",72,72,7,7,20,54,273,245346,252241,2765929,3011716,299950,2.254,2.32,2.545,0.1715,0,0.0779,0.1396,245346,252241,299950,39,245.346,252.241,299.95
"36",0,2006,"2006-12",66,62,7,7,21,43,244,248187,255176,3014116,3014116,300178,2.328,2.423,2.61,0.2627,0,0.1548,0.0223,248187,255176,300178,34.8571428571429,248.187,255.176,300.178
"37",1,2007,"2007-01",91,87,8,8,26,68,341,233621,254050,233621,3014455,300398,2.237,2.396,2.485,0.0387,0.0172,0.1183,0.1253,233621,254050,300398,48.7142857142857,233.621,254.05,300.398
"38",2,2007,"2007-02",80,75,10,10,22,58,302,219232,249246,452854,3012977,300608,2.276,2.418,2.488,0,0.0855,0.0407,0.0958,219232,249246,300608,43.1428571428571,219.232,249.246,300.608
"39",3,2007,"2007-03",76,74,10,10,21,57,296,259638,254323,712492,3015992,300823,2.546,2.738,2.667,0.79,0,0.1795,0.1632,259638,254323,300823,42.2857142857143,259.638,254.323,300.823
"40",4,2007,"2007-04",75,68,11,11,22,58,294,252595,251777,965087,3017943,301045,2.831,3.013,2.834,0,0.1229,0.0608,0.0157,252595,251777,301045,42,252.595,251.777,301.045
"41",5,2007,"2007-05",78,73,11,11,20,66,311,267574,253509,1232661,3022147,301278,3.157,3.248,2.796,0.1277,0.012,0.1645,0.2362,267574,253509,301278,44.4285714285714,267.574,253.509,301.278
"42",6,2007,"2007-06",80,73,12,12,21,64,316,265374,253209,1498035,3023739,301528,3.067,3.173,2.808,0.1261,0.0104,0.0685,0.0836,265374,253209,301528,45.1428571428571,265.374,253.209,301.528
"43",7,2007,"2007-07",79,74,13,13,23,60,317,267106,252684,1765140,3027424,301790,2.989,3.055,2.868,0.3228,0.121,0.108,0.0516,267106,252684,301790,45.2857142857143,267.106,252.684,301.79
"44",8,2007,"2007-08",84,75,14,14,21,60,323,271225,253740,2036366,3033442,302064,2.821,2.862,2.869,0.4757,0,0.1223,0.1313,271225,253740,302064,46.1428571428571,271.225,253.74,302.064
"45",9,2007,"2007-09",77,72,15,15,21,57,310,245965,253671,2282330,3033802,302334,2.858,2.83,2.953,0.121,0,0.009,0.023,245965,253671,302334,44.2857142857143,245.965,253.671,302.334
"46",10,2007,"2007-10",80,73,15,15,23,51,307,261423,253571,2543753,3037286,302590,2.838,2.884,3.075,0.2952,0.0071,0.1666,0.0528,261423,253571,302590,43.8571428571429,261.423,253.571,302.59
"47",11,2007,"2007-11",68,63,15,15,23,45,275,245787,251772,2789541,3037728,302834,3.11,3.166,3.396,0.1683,0,0.0059,0.2283,245787,251772,302834,39.2857142857143,245.787,251.772,302.834
"48",0,2007,"2007-12",61,56,14,14,25,46,259,240281,248640,3029822,3029822,303062,3.032,3.148,3.341,0.0812,0,0.2338,0.0146,240281,248640,303062,37,240.281,248.64,303.062
"49",1,2008,"2008-01",84,78,19,19,31,64,353,232920,252427,232920,3029121,303280,3.068,3.15,3.308,0.0033,0.0025,0.0695,0.1057,232920,252427,303280,50.4285714285714,232.92,252.427,303.28
"50",2,2008,"2008-02",72,68,20,20,26,58,315,221336,250451,454256,3031224,303494,3.064,3.107,3.377,0.0405,0,0.1527,0.0319,221336,250451,303494,45,221.336,250.451,303.494
"51",3,2008,"2008-03",69,63,22,22,26,55,312,252343,249673,706599,3023929,303707,3.263,3.356,3.881,0,0,0.1093,0.1311,252343,249673,303707,44.5714285714286,252.343,249.673,303.707
"52",4,2008,"2008-04",69,65,23,23,27,58,322,252088,248876,958687,3023422,303926,3.468,3.588,4.084,0.0674,0.0967,0.1061,0.1945,252088,248876,303926,46,252.088,248.876,303.926
"53",5,2008,"2008-05",65,60,24,24,24,61,316,261466,248153,1220154,3017314,304157,3.783,3.882,4.425,0.0395,0.0161,0.0913,0.0493,261466,248153,304157,45.1428571428571,261.466,248.153,304.157
"54",6,2008,"2008-06",69,59,30,30,30,66,345,257484,247136,1477638,3009425,304396,4.038,4.243,4.677,0.2245,0,0.0995,0.1152,257484,247136,304396,49.2857142857143,257.484,247.136,304.396
"55",7,2008,"2008-07",69,61,32,32,33,61,348,261600,245078,1739238,3003919,304646,4.051,4.243,4.703,0.0723,0.0145,0.0884,0.0863,261600,245078,304646,49.7142857142857,261.6,245.078,304.646
"56",8,2008,"2008-08",69,66,33,33,31,59,349,260609,245169,1999847,2993304,304903,3.789,3.921,4.302,0.1035,0.001,0.1895,0.1204,260609,245169,304903,49.8571428571429,260.609,245.169,304.903
"57",9,2008,"2008-09",70,78,39,39,36,59,385,239607,245979,2239454,2986946,305158,3.76,3.747,4.024,0.0569,0.013,0.1082,0.1276,239607,245979,305158,55,239.607,245.979,305.158
"58",10,2008,"2008-10",65,74,40,40,41,53,374,255848,246316,2495302,2981371,305403,3.065,3.207,3.576,0.0081,0,0.1097,0.0152,255848,246316,305403,53.4285714285714,255.848,246.316,305.403
"59",11,2008,"2008-11",60,68,39,39,51,49,365,236465,247030,2731767,2972049,305620,2.153,2.319,2.876,0.338,0,0.0328,0.039,236465,247030,305620,52.1428571428571,236.465,247.03,305.62
"60",0,2008,"2008-12",54,65,39,39,61,42,356,241742,246628,2973509,2973509,305827,1.721,1.793,2.449,0.0179,0.0533,0.1937,0.0643,241742,246628,305827,50.8571428571429,241.742,246.628,305.827
"61",1,2009,"2009-01",76,97,52,52,73,68,492,225529,245355,225529,2966118,306035,1.821,1.88,2.292,0.1067,0.0257,0.0094,0.1615,225529,245355,306035,70.2857142857143,225.529,245.355,306.035
"62",2,2009,"2009-02",76,98,51,51,75,55,471,217643,248339,443172,2962426,306237,1.942,2.044,2.195,0.1323,0,0.0562,0.142,217643,248339,306237,67.2857142857143,217.643,248.339,306.237
"63",3,2009,"2009-03",68,77,55,55,72,56,447,249741,245494,692914,2959824,306438,1.987,2.06,2.092,0.0522,0.0021,0.1276,0.0676,249741,245494,306438,63.8571428571429,249.741,245.494,306.438
"64",4,2009,"2009-04",63,77,51,51,67,55,424,251374,247492,944288,2959110,306645,2.071,2.165,2.22,0.011,0,0.1148,0.0096,251374,247492,306645,60.5714285714286,251.374,247.492,306.645
"65",5,2009,"2009-05",57,62,53,53,63,63,414,258276,247167,1202563,2955919,306863,2.289,2.373,2.227,0.2287,0,0.1517,0.0624,258276,247167,306863,59.1428571428571,258.276,247.167,306.863
"66",6,2009,"2009-06",65,78,56,56,67,67,458,258395,246564,1460959,2956830,307090,2.645,2.755,2.529,0.0923,8e-04,0.1521,0.0601,258395,246564,307090,65.4285714285714,258.395,246.564,307.09
"67",7,2009,"2009-07",68,87,56,56,71,62,468,264472,247122,1725431,2959702,307322,2.53,2.686,2.54,0.1769,0.3621,0.1275,0.0494,264472,247122,307322,66.8571428571429,264.472,247.122,307.322
"68",8,2009,"2009-08",65,84,61,61,69,66,474,260297,247390,1985728,2959390,307570,2.613,2.786,2.634,0.0961,0.0468,0.0639,0.0884,260297,247390,307570,67.7142857142857,260.297,247.39,307.57
"69",9,2009,"2009-09",62,76,57,57,67,66,451,241970,246341,2227698,2961753,307826,2.53,2.769,2.626,0.3079,0,0.1071,0.1081,241970,246341,307826,64.4285714285714,241.97,246.341,307.826
"70",10,2009,"2009-10",59,63,56,56,72,56,426,252209,243922,2479907,2958114,308071,2.549,2.718,2.672,0.0154,0.5086,0.4464,0.0289,252209,243922,308071,60.8571428571429,252.209,243.922,308.071
"71",11,2009,"2009-11",53,60,52,52,78,50,405,237264,246578,2717170,2958912,308289,2.665,2.788,2.792,0.4918,0,0.0278,0.2726,237264,246578,308289,57.8571428571429,237.264,246.578,308.289
"72",0,2009,"2009-12",47,68,47,47,74,46,382,239593,244411,2956764,2956764,308495,2.62,2.75,2.745,0,0.2819,0.2281,0.0118,239593,244411,308495,54.5714285714286,239.593,244.411,308.495
"73",1,2010,"2010-01",61,93,58,58,80,66,486,220839,242489,220839,2952073,308706,2.73,2.848,2.845,0.0661,0.0084,0.1535,0.0248,220839,242489,308706,69.4285714285714,220.839,242.489,308.706
"74",2,2010,"2010-02",58,95,56,56,73,56,458,210635,241735,431473,2945064,308904,2.657,2.787,2.785,0.0356,0.2264,0.0447,0.0578,210635,241735,308904,65.4285714285714,210.635,241.735,308.904
"75",3,2010,"2010-03",56,87,60,60,77,49,452,254238,248125,685711,2949561,309095,2.793,2.888,2.915,0.1852,0.0205,0.0483,0.0849,254238,248125,309095,64.5714285714286,254.238,248.125,309.095
"76",4,2010,"2010-04",53,77,61,61,71,50,437,253936,249063,939647,2952123,309284,2.867,2.966,3.059,0.3221,0,0.1181,0.0933,253936,249063,309284,62.4285714285714,253.936,249.063,309.284
"77",5,2010,"2010-05",53,78,62,62,65,48,434,256927,247472,1196574,2950774,309470,2.847,2.979,3.069,0.1702,0.2489,0.1254,0.0407,256927,247472,309470,62,256.927,247.472,309.47
"78",6,2010,"2010-06",54,82,74,74,82,51,487,260083,247478,1456657,2952462,309666,2.733,2.891,2.948,0.3536,0,0.1819,0.0484,260083,247478,309666,69.5714285714286,260.083,247.478,309.666
"79",7,2010,"2010-07",48,78,54,54,100,45,445,265315,249163,1721972,2953305,309876,2.728,2.89,2.911,0.2471,0,0.2012,0.0234,265315,249163,309876,63.5714285714286,265.315,249.163,309.876
"80",8,2010,"2010-08",46,40,49,49,65,44,357,263837,249522,1985810,2956845,310097,2.733,2.886,2.959,0.3651,0,0.0432,0.0673,263837,249522,310097,51,263.837,249.522,310.097
"81",9,2010,"2010-09",45,33,50,50,56,38,332,244682,248711,2230491,2959557,310323,2.727,2.82,2.946,0.2507,0,0.145,0.1438,244682,248711,310323,47.4285714285714,244.682,248.711,310.323
